year,month,date,day,album_title,album_artist,track_title
2020,11,14,Sat, TOHO BOSSA NOVA 8, shibayan records, Insane Stoicism
2020,11,14,Sat, TOHO BOSSA NOVA 8, shibayan records, 食べ歩き魂
2020,11,14,Sat, TOHO BOSSA NOVA 8, shibayan records, もくもくのくも、隣でいっしょに
2020,11,14,Sat, TOHO BOSSA NOVA 8, shibayan records, querida ilusão
2020,11,14,Sat, TOHO BOSSA NOVA 8, shibayan records, ふわふわどれみー
2020,11,14,Sat, TOHO BOSSA NOVA 9, まさみティー, ハッピー・チキン・ポップ
2020,11,14,Sat, TOHO BOSSA NOVA 9, じんぞう, アスタ・ラ・ビスタ
2020,11,14,Sat, TOHO BOSSA NOVA 9, だ, música noturna
2020,11,14,Sat, TOHO BOSSA NOVA 9, unity-gain-6db+1, ふじやま、登るけぇの
2020,11,14,Sat, TOHO BOSSA NOVA 9, 鯛の小骨, MUKOU NO BEACH
2020,11,14,Sat, TOHO BOSSA NOVA 9, milka, さかさまバブル
2020,11,14,Sat, TOHO BOSSA NOVA 9, signum/ii (w/ irus & yousuke saito), First note
2020,11,14,Sat, TOHO BOSSA NOVA 9, 3l, sunset chant
2020,11,14,Sat, 【プリンセスサイド】TOHO BOSSA NOVA 5, shibayan records, 町中ドライブ [デザイアドライブ]
2020,11,14,Sat, 【プリンセスサイド】TOHO BOSSA NOVA 5, shibayan records, 春のおとずれ [東方妖々夢 ～Ancient Temple]
2020,11,14,Sat, 【プリンセスサイド】TOHO BOSSA NOVA 5, shibayan records, ヴェルニゲローデの車窓から [上海紅茶館　～ Chinese Tea]
2020,11,14,Sat, 【プリンセスサイド】TOHO BOSSA NOVA 5, shibayan records, 黄昏は真珠色 [大神神話伝]
2020,11,14,Sat, 【プリンセスサイド】TOHO BOSSA NOVA 5, shibayan records, Give up on it [デザイアドライブ]
2020,11,14,Sat, 【プリンセスサイド】TOHO BOSSA NOVA 5, shibayan records, marisanha [恋色マスタースパーク]
2020,11,14,Sat, 【プリンセスサイド】TOHO BOSSA NOVA 5, shibayan records, サグメさま３分クッキング [逆転するホイールオブフォーチューン & 凍り付いた永遠の都]
2020,11,14,Sat, Horizon, luamel, Horizon
2020,11,14,Sat, NieR:Automata Original Soundtrack, 岡部啓一, 意味/無/ジュニーク・ニコール
2020,11,14,Sat, NieR:Automata Original Soundtrack, 岡部啓一, 遺サレタ場所/斜光
2020,11,14,Sat, NieR:Automata Original Soundtrack, 岡部啓一, 穏ヤカナ眠リ
2020,11,14,Sat, NieR:Automata Original Soundtrack, 高橋邦幸, 砂塵ノ記憶
2020,11,14,Sat, NieR:Automata Original Soundtrack, 高橋邦幸, 砂塵ノ記憶
2020,11,14,Sat, NieR:Automata Original Soundtrack, 高橋邦幸, 砂塵ノ記憶
2020,11,14,Sat, NieR:Automata Original Soundtrack, 高橋邦幸, 砂塵ノ記憶
2020,11,14,Sat, NieR:Automata Original Soundtrack, 岡部啓一, 生マレ出ヅル意思
2020,11,14,Sat, NieR:Automata Original Soundtrack, 岡部啓一, 生マレ出ヅル意思
2020,11,14,Sat, NieR:Automata Original Soundtrack, 岡部啓一, 沈痛ノ色
2020,11,14,Sat, NieR:Automata Original Soundtrack, 帆足圭吾, 遊園施設
2020,11,14,Sat, NieR:Automata Original Soundtrack, 帆足圭吾, 美シキ歌
2020,11,14,Sat, NieR:Automata Original Soundtrack, 岡部啓一, 還ラナイ声/ギター
2020,11,14,Sat, NieR:Automata Original Soundtrack, 高橋邦幸・岡部啓一, オバアチャン/破壊
2020,11,14,Sat, NieR:Automata Original Soundtrack, 帆足圭吾・岡部啓一, 澱ンダ祈リ/暁風
2020,11,14,Sat, NieR:Automata Original Soundtrack, 高橋邦幸・石濱 翔, エミール/ショップ
2020,11,14,Sat, NieR:Automata Original Soundtrack, 帆足圭吾, 大切ナ時間
2020,11,14,Sat, NieR:Automata Original Soundtrack, 帆足圭吾, 曖昧ナ希望/氷雨
2020,11,14,Sat, NieR:Automata Original Soundtrack, 岡部啓一, Weight of the World/English Version
2020,11,14,Sat, NieR:Automata Original Soundtrack, 岡部啓一, 意味/河野万里奈/エミ・エヴァンス
2020,11,14,Sat, NieR:Automata Original Soundtrack, 岡部啓一, 遺サレタ場所/遮光
2020,11,14,Sat, NieR:Automata Original Soundtrack, 岡部啓一, 異形ノ末路
2020,11,14,Sat, NieR:Automata Original Soundtrack, 岡部啓一, 還ラナイ声/通常
2020,11,14,Sat, NieR:Automata Original Soundtrack, 岡部啓一, パスカル
2020,11,14,Sat, NieR:Automata Original Soundtrack, 帆足圭吾, 森ノ王国
2020,11,14,Sat, NieR:Automata Original Soundtrack, 帆足圭吾・岡部啓一, 全テヲ破壊スル黒キ巨人/怪獣
2020,11,14,Sat, The Space Between, intervals, Still Winning
2020,11,14,Sat, The Space Between, intervals, Duality
2020,11,14,Sat, The Space Between, intervals, Duality
2020,11,14,Sat, The Space Between, intervals, Duality
2020,11,14,Sat, The Space Between, intervals, Duality
2020,11,14,Sat, The Space Between, intervals, Sonar
2020,11,14,Sat, The Space Between, intervals, Sonar
2020,11,14,Sat, The Space Between, intervals, Sonar
2020,11,14,Sat, The Space Between, intervals, Sonar
2020,11,14,Sat, The Space Between, intervals, Sonar
2020,11,14,Sat, The Space Between, intervals, Sonar
2020,11,14,Sat, The Space Between, intervals, Sonar
2020,11,14,Sat, The Space Between, intervals, Sonar
2020,11,14,Sat, The Space Between, intervals, Inertia
